A1BG	ITIH4
A2M	ALK
A2M	ARFGEF2
A2M	CCT5
A2M	CLEC2A
A2M	FAR1
A2M	SERPINA1
A2M	TMEM52B
AAAS	ATP5MC2
AAAS	ITGB7
AACS	DNAH10
AACS	MAL
AACS	TMEM132B
AAGAB	SMAD3
AAK1	C2ORF42
AAK1	C2orf42
AAK1	GALNT14
AAK1	KCMF1
AAK1	LHX2
AAK1	RPIA
AAK1	WFDC13
AAMDC	RSF1
AAMDC	SCGB1D1
AAMDC	SPCS2
AAMDC	TMEM135
AAMP	MARCHF4
AARS1	COG4
AARS1	PPP1R13B
AARS1	ST3GAL2
AARS2	SPATS1
AARSD1	CCR7
AARSD1	CHRNB1
AARSD1	FBXL20
AARSD1	RGS9
AASDH	CC2D2A
AASDH	LRRC66
AASDHPPT	ABTB2
AASDHPPT	CARD16
AASS	CADPS2
AASS	DNM3
AATF	ACACA
AATF	AP2B1
AATF	FTL
AATF	GOSR2
AATF	KRT15
AATF	LIG3
AATF	PCDH11X
AATF	TADA2A
AATF	UBE2G1
AATK	FOXP1
AATK	LAMA5
AATK	USP32
ABAT	MARF1
ABAT	USP7
ABAT	VPS35L
ABCA1	HDHD3
ABCA1	PTGR1
ABCA1	RAB5C
ABCA1	ZBTB26
ABCA1	ZBTB6
ABCA1	ZNF483
ABCA12	MICU1
ABCA12	SGPP2
ABCA13	BLVRA
ABCA13	CAP1
ABCA2	TRIM14
ABCA3	ATP23
ABCA3	RPS16
ABCA5	BCAS3
ABCA5	C17ORF67
ABCA5	C17orf67
ABCA5	MBTD1
ABCA6	LIG3
ABCA7	CIRBP
ABCA7	COL5A3
ABCA7	STK11
ABCA9	CEP112
ABCA9	TANC2
ABCB4	TMEM169
ABCB7	ACSS2
ABCB8	IQCA1L
ABCB8	NOS3
ABCB9	EIF2B1
ABCB9	MPHOSPH9
ABCC1	DLGAP1
ABCC1	NDE1
ABCC1	PRKCB
ABCC10	PPP2R5D
ABCC2	CTNNA3
ABCC2	SMIM4
ABCC2	TSPAN14
ABCC3	ACSF2
ABCC3	BCAN
ABCC3	DHDH
ABCC3	KAT7
ABCC3	TMEM104
ABCC3	XYLT2
ABCC4	ABCB4
ABCC4	CCDC169
ABCC4	COL4A2
ABCC4	ETV4
ABCC4	PTPN4
ABCC4	UGGT2
ABCC5	ATP11B
ABCC5	DCUN1D1
ABCC5	NAALADL2
ABCC5	SPRR4
ABCC6	C16orf70
ABCC6	LTA4H
ABCC9	DMKN
ABCC9	RASSF8
ABCD3	ABCA4
ABCD3	AK5
ABCD3	ARHGAP29
ABCD3	DPYD
ABCD3	GAP43
ABCD3	KMT2E
ABCD4	MIDEAS
ABCF1	PRR3
ABCF1	SHC2
ABCF1	ZNRD1
ABCF2	WDR86
ABCF3	PLEKHB2
ABCG1	BACE2
ABCG1	BTG3
ABCG1	CCDC134
ABCG1	MEI1
ABHD12	ENTPD6
ABHD12	ERVFRD-1
ABHD12	GINS1
ABHD12	KIF16B
ABHD12	PPP2R2A
ABHD12	TTI1
ABHD12	UQCC1
ABHD12B	RNASE1
ABHD13	IRS2
ABHD14B	POC1A
ABHD16A	CLIC1
ABHD16A	LY6G6F
ABHD16A	VARS1
ABHD17A	AP3D1
ABHD17A	TCF3
ABHD17B	CCL25
ABHD17C	BHLHE41
ABHD17C	HMG20A
ABHD17C	PRAMEF6
ABHD17C	SCAPER
ABHD18	SLC25A31
ABHD2	ACAN
ABHD2	BIRC6
ABHD3	ANKRD29
ABHD4	PSMB11
ABHD6	FLNB
ABHD8	ILKAP
ABI1	CCDC7
ABI1	CUBN
ABI1	PTP4A3
ABI2	CARF
ABI2	CHMP1A
ABI2	CYP20A1
ABI2	FAM117B
ABI2	HEXIM2
ABI2	MAIP1
ABI2	MTA3
ABI2	PPP1R1C
ABI2	SPATS2L
ABI3	STARD3
ABI3	TSPOAP1
ABI3BP	EXT2
ABI3BP	IMPG2
ABI3BP	NBPF9
ABI3BP	RET
ABL1	ADAMTSL2
ABL1	AIF1L
ABL1	ANXA4
ABL1	APBA1
ABL1	BCR
ABL1	BRD3
ABL1	CBFB
ABL1	DDX27
ABL1	EXOSC2
ABL1	FUBP3
ABL1	KYAT1
ABL1	NUP214
ABL1	PRDM12
ABL1	PRRC2B
ABL1	PTPRN2
ABL1	SLC38A10
ABL1	SLC9A3R1
ABL2	GPR161
ABL2	KCNH1
ABL2	XRRA1
ABLIM1	PDE6B
ABLIM1	PTCD2
ABLIM2	PPP2R2C
ABLIM3	TRPM8
ABO	HTR3B
ABR	ACAD10
ABR	ADGRB1
ABR	ASPA
ABR	CLUH
ABR	CRK
ABR	DNAH2
ABR	GAS7
ABR	GEMIN4
ABR	MAN2B1
ABR	PITPNA
ABR	RTN4RL1
ABR	STAP2
ABR	YWHAE
ABRACL	MAP3K5
ABRACL	PERP
ABRAXAS1	HELQ
ABTB2	APIP
ABTB2	ATXN3
ABTB2	KDM2A
ABTB2	LMO2
ABTB2	NDUFB1
ABTB2	TYR
ACAA2	MYO5B
ACACA	ADAM9
ACACA	ASIC2
ACACA	CCDC192
ACACA	DDX52
ACACA	FAM104A
ACACA	GLIPR1L2
ACACA	GSDMB
ACACA	HTRA4
ACACA	LASP1
ACACA	LGALS9
ACACA	MED1
ACACA	MED24
ACACA	METTL25
ACACA	MGME1
ACACA	MMP28
ACACA	PRKCA
ACACA	RARA
ACACA	SGTB
ACACA	SRCIN1
ACACA	SSH2
ACACA	STAC2
ACACA	SYNRG
ACACA	TADA2A
ACACA	TANC2
ACACB	UNG
ACAD10	MAPKAPK5
ACAD11	ABCE1
ACAD11	TRAPPC13
ACAD9	CFAP92
ACAD9	RAB7A
ACADM	FOXJ3
ACADS	GTPBP10
ACADS	PRKAB1
ACADVL	CD74
ACAP2	APOD
ACAP2	ATP13A3
ACAP2	ATP5MF
ACAP2	DLG1
ACAP2	DOCK8
ACAP2	IQCG
ACAP2	UBE2J2
ACAP2	XXYLT1
ACAP3	DVL1
ACAP3	INTS11
ACAP3	SCNN1D
ACAP3	TMEM240
ACBD3	RAB5B
ACBD4	LRRC37A
ACBD5	ANKRD26
ACBD5	RET
ACBD5	ZEB1
ACBD6	CCDC122
ACBD6	CHIT1
ACBD6	GON4L
ACBD6	IVNS1ABP
ACBD6	PGBD2
ACBD6	RRP15
ACCS	EXT2
ACE	CCDC47
ACE	MAP3K3
ACE2	GPR143
ACER2	C8ORF37
ACER2	C8orf37
ACER2	DENND4C
ACER3	EMSY
ACER3	NARS2
ACER3	NRL
ACER3	PC
ACER3	PPME1
ACER3	THRSP
ACER3	UVRAG
ACER3	ZNF451
ACHE	VPS50
ACIN1	HAUS4
ACIN1	NUTM1
ACIN1	SHTN1
ACKR2	POMGNT2
ACKR3	GOLM2
ACLY	DNAJC7
ACLY	NEUROD2
ACLY	NF1
ACLY	TAF15
ACLY	WEE1
ACO1	TYRP1
ACO2	ACTB
ACO2	AHRR
ACO2	ARHGAP8
ACO2	C1QTNF7
ACO2	CACNG2
ACO2	CRADD
ACO2	ISX
ACO2	PRR5
ACO2	RASGEF1C
ACO2	TANGO2
ACO2	TBCD
ACO2	TEF
ACO2	UBE2A
ACO2	ZC3H7B
ACOT11	C8B
ACOT11	GIP
ACOT12	SSBP2
ACOT2	ZNF320
ACOT7	DNAJC11
ACOT7	FUCA1
ACOT7	KLHL21
ACOT7	MIB2
ACOT7	NPHP4
ACOT7	NSMCE2
ACOT7	PLEKHG5
ACOT7	TTC34
ACOT7	ZFP69
ACOT9	APOO
ACOX1	EXOC7
ACOX1	PPP2R3B
ACOX1	SRP68
ACOX3	CD96
ACOX3	STAT1
ACOX3	VAMP7
ACOXL	KLHL23
ACOXL	SSB
ACOXL	UNC5D
ACP2	CD74
ACP2	MRPL48
ACP3	ARFIP1
ACP3	ATP2C1
ACP3	AXL
ACP3	BCR
ACP3	MYC
ACP3	NEDD4L
ACP3	NPY
ACP3	OGT
ACP3	PIK3CB
ACP3	RDH11
ACP3	SAFB2
ACP3	SKIL
ACP3	STAT6
ACP3	ZNF462
ACP5	GTF2F1
ACP6	INTS7
ACP6	PIAS3
ACP7	ACTN4
ACSBG1	IDH3A
ACSF2	ABCA9
ACSF2	SPAG9
ACSF3	MYH7B
ACSF3	ZNF483
ACSL3	ETV1
ACSL3	KCNE4
ACSL3	MOGAT1
ACSL3	PHGDH
ACSL3	SGPP2
ACSL3	SMARCAL1
ACSL4	DCAF6
ACSL5	ATE1
ACSL5	TCF7L2
ACSL6	CDS2
ACSM1	DNAH3
ACSM2A	ABCC6
ACSM2B	NOTCH2
ACSS1	APMAP
ACSS1	CDH4
ACSS1	DBNDD2
ACSS1	PHACTR3
ACSS1	ZFAND3
ACSS2	GSS
ACSS3	AVIL
ACSS3	CYP39A1
ACSS3	INSR
ACSS3	STAU2
ACTA2	COL6A1
ACTB	AHSG
ACTB	ALB
ACTB	CDC5L
ACTB	CELA3A
ACTB	COL17A1
ACTB	CSE1L
ACTB	EML2
ACTB	FOSB
ACTB	GLI1
ACTB	GNAS
ACTB	GSE1
ACTB	HLA-DQB1
ACTB	KLF2
ACTB	NOL4L
ACTB	NOP53
ACTB	PMP2
ACTB	RACK1
ACTB	RNF216
ACTB	SAFB
ACTB	SELENOP
ACTB	TM4SF4
ACTB	YWHAE
ACTG1	ANKS1A
ACTG1	CCNC
ACTG1	CCT5
ACTG1	CLCN3
ACTG1	CXCR5
ACTG1	DDX21
ACTG1	IGK
ACTG1	MITF
ACTG1	PLEKHA5
ACTG1	PPP1R12C
ACTG1	SPRR1B
ACTG1	STAT6
ACTG1	THSD4
ACTG1	USP7
ACTG1	ZNF827
ACTG2	ALK
ACTL6A	ALG3
ACTL6A	BGN
ACTL6A	PIK3CA
ACTL8	ACOX1
ACTN1	DCAF5
ACTN1	RNF41
ACTN1	SCGN
ACTN2	CHRM3
ACTN4	APLP1
ACTN4	CAPZB
ACTN4	CATSPERG
ACTN4	CIB3
ACTN4	EIF3K
ACTN4	FTO
ACTN4	IGF2BP2
ACTN4	KIRREL2
ACTN4	MGST2
ACTN4	NOVA2
ACTN4	RPS16
ACTN4	RYR1
ACTN4	SPINT2
ACTN4	SUPT5H
ACTN4	TXNDC12
ACTN4	YIF1B
ACTR10	GALC
ACTR10	MKX
ACTR1A	ARL3
ACTR1A	ARMC4
ACTR1A	EFCAB13
ACTR1A	STN1
ACTR2	GGACT
ACTR2	SORBS2
ACTR2	TSGA10
ACTR3	POLR1B
ACTR3	SLC4A10
ACTR3	VPS13B
ACTR3	ZRANB3
ACTR3B	PTPRN2
ACTR3B	TAB2
ACTR3C	GIMAP2
ACTR3C	SORCS1
ACTR5	RPRD1B
ACTR5	ZNF217
ACTR5	ZNF682
ACTR8	GOLM2
ACVR1	CCDC148
ACVR1	CDK4
ACVR1	GNLY
ACVR1	NFATC1
ACVR1B	ACVRL1
ACVR1B	ANKRD33
ACVR1B	CS
ACVR1B	GRASP
ACVR1B	PCBP2
ACVR1B	SUPT16H
ACVR1C	MGAT5
ACVR2A	AKT3
ACVR2A	CASP8
ACVR2A	EPC2
ACVR2A	KANK1
ACVR2A	PIGF
ACVR2A	SUMO1
ACVR2B	KRTAP5-2
ACY1	BAP1
ACYP2	CFAP36
ACYP2	EML6
ACYP2	PPP1CB
ADAL	TERB2
ADAM10	ALDH1A2
ADAM10	BLVRB
ADAM10	FIZ1
ADAM10	MYO1E
ADAM10	PLAC9
ADAM10	TERB2
ADAM10	ZNF770
ADAM15	CHD1L
ADAM15	DCST1
ADAM17	ITGB1BP1
ADAM17	LTO1
ADAM17	NHEJ1
ADAM17	YWHAQ
ADAM18	LSM1
ADAM19	FNDC9
ADAM2	MTMR2
ADAM22	ASB4
ADAM22	RUNDC3B
ADAM23	CERKL
ADAM23	PLPP1
ADAM23	SGO2
ADAM32	ZNF251
ADAM9	CLYBL
ADAM9	CRB1
ADAM9	ERCC8
ADAM9	HTRA4
ADAM9	KCNU1
ADAM9	LETM2
ADAM9	PLPBP
ADAM9	RGS20
ADAM9	RNF170
ADAM9	TACC1
ADAM9	TESMIN
ADAM9	UNC5D
ADAMTS10	MLLT1
ADAMTS12	C1QTNF3
ADAMTS12	FBXO38
ADAMTS12	RAI14
ADAMTS12	ZFR
ADAMTS13	LHX2
ADAMTS16	ETV6
ADAMTS16	TERT
ADAMTS17	AKAP13
ADAMTS17	CERS3
ADAMTS17	LPAR1
ADAMTS17	LRRC28
ADAMTS17	NCF4
ADAMTS17	PCDHA13
ADAMTS17	PCDHA8
ADAMTS17	PCDHAC1
ADAMTS17	PCDHAC2
ADAMTS17	RTKN2
ADAMTS17	SLC12A1
ADAMTS19	SLC27A6
ADAMTS2	OXCT1
ADAMTS2	ZNF354C
ADAMTS20	C12ORF43
ADAMTS20	CBFA2T2
ADAMTS20	MYRFL
ADAMTS3	GUCY1B1
ADAMTS3	SNX30
ADAMTS6	CLPTM1L
ADAMTS7	TMEM135
ADAMTS9	CHL1
ADAMTS9	PRICKLE2
ADAMTS9	SYNPR
ADAMTS9	ULK4
ADAMTSL1	ERV3-1
ADAMTSL1	UHRF2
ADAMTSL1	WNT5B
ADAMTSL2	MAPKAP1
ADAP1	COX19
ADAP1	GET4
ADAP1	MAD1L1
ADAP1	METTL2B
ADAP1	NDUFAF6
ADAP1	SUN1
ADAP2	USP36
ADAR	CCT5
ADAR	GPATCH4
ADAR	KRTCAP2
ADAR	LYPD8
ADAR	UBE2J2
ADAT1	KARS1
ADAT2	VTA1
ADAT3	DAZAP1
ADCK1	SLIRP
ADCK2	DPP6
ADCK2	SLC26A4
ADCK2	TBXAS1
ADCK5	CPSF1
ADCK5	HSF1
ADCK5	INPP5B
ADCK5	MROH1
ADCY1	EYA4
ADCY1	HNRNPA2B1
ADCY10	MPC2
ADCY2	CASC3
ADCY2	CLPTM1L
ADCY2	PARP8
ADCY2	RPAP2
ADCY2	SAMM50
ADCY3	HADHA
ADCY3	TP53I3
ADCY5	HACD2
ADCY9	CDIP1
ADCY9	CLUAP1
ADCY9	FAHD1
ADCY9	GLYR1
ADCY9	JADE3
ADCY9	NLRC3
ADCY9	NMRAL1
ADCY9	PAM16
ADCY9	PRKCB
ADCY9	PRSS27
ADCY9	RASSF8
ADCY9	RIPOR3
ADCY9	RMI2
ADCY9	SPART
ADCY9	SRL
ADCY9	TEAD4
ADCY9	TFAP4
ADCY9	VASN
ADCYAP1R1	AQP1
ADCYAP1R1	GHRHR
ADCYAP1R1	GSDME
ADCYAP1R1	TYK2
ADD1	ADK
ADD1	ATP2B4
ADD1	FAM193A
ADD1	PCGF3
ADD1	SH3BP2
ADD2	ANTXR1
ADD3	AFAP1L2
ADD3	OGT
ADD3	SIRT1
ADD3	XPNPEP1
ADGRA2	GSR
ADGRA3	ERBB2
ADGRA3	KCNIP4
ADGRB1	EXT1
ADGRB2	HS3ST4
ADGRB2	PTP4A2
ADGRB2	SPOCD1
ADGRB3	CFHR1
ADGRE5	EPS15L1
ADGRE5	IGL
ADGRF1	MEP1A
ADGRF1	TNFRSF21
ADGRF1	TRERF1
ADGRF2	TNFRSF21
ADGRF3	IFT172
ADGRF4	CALR
ADGRF5	ADGRF1
ADGRF5	MEP1A
ADGRG1	GINS3
ADGRG1	MT1F
ADGRG2	MAP3K15
ADGRG6	CLSTN2
ADGRG6	GJE1
ADGRG6	VTA1
ADGRG7	LNP1
ADGRG7	TFG
ADGRL1	LGALS4
ADGRL1	PODNL1
ADGRL1	TRIR
ADGRL2	AK5
ADGRL3	AMTN
ADGRL3	BBS9
ADGRL3	DBX2
ADGRL3	GPM6A
ADGRL3	PGLYRP2
ADGRL3	PPP3CA
ADGRL3	ST3GAL5
ADGRV1	ATR
ADGRV1	CLPTM1L
ADGRV1	POLR3G
ADH1B	CES1
ADH7	CXCR5
ADI1	DPY30
ADI1	KHDRBS3
ADI1	ZFP91
ADIPOR1	CYB5R1
ADIPOR1	RGS8
ADIPOR2	CACNA2D4
ADIPOR2	CASK
ADIPOR2	DCP1B
ADIPOR2	ERC1
ADIPOR2	FAM72B
ADIPOR2	FOXJ2
ADIPOR2	NINJ2
ADIPOR2	SLC2A13
ADIPOR2	ST8SIA1
ADIPOR2	WNT5B
ADIRF	SNW1
ADK	FAM149B1
ADK	KAT6B
ADK	KCNMA1
ADK	LRMDA
ADK	LRRTM3
ADK	PI4K2A
ADK	RPP38
ADK	SIRT1
ADK	SPTAN1
ADK	TAF1D
ADK	TTC23
ADM2	PPP6R2
ADNP	BMP7
ADNP	DDX27
ADNP	DLGAP4
ADNP	DPM1
ADNP	GHRH
ADNP	KCNG1
ADNP	MMP24
ADNP	MROH8
ADNP	NFATC2
ADNP	PCIF1
ADNP	SCCPDH
ADNP	SLPI
ADNP	SYCP2
ADNP	ZNF841
ADNP2	L3MBTL4
ADNP2	PARD6G
ADNP2	SLC66A2
ADORA2B	PIGL
ADORA2B	SYN3
ADORA2B	TIMP3
ADPGK	BBS4
ADPRHL1	TFDP1
ADPRS	SHPK
ADRA1A	YIPF7
ADRM1	CCT5
ADSL	CDH18
ADSL	MRTFA
ADSL	PVALB
ADSL	SGSM3
ADSL	TNRC6B
ADSS2	AZIN1
ADSS2	BPNT1
ADSS2	CAPRIN2
ADSS2	SERTAD4
AEBP1	ANKS1A
AEBP1	CSRP1
AEBP1	NDUFV1
AEBP1	SLC38A5
AEBP1	THRA
AEBP2	FLYWCH2
AEBP2	GYS2
AEBP2	LMO3
AEBP2	PIK3C2G
AEBP2	PLEKHA5
AEBP2	PRLR
AEBP2	ST8SIA1
AFAP1	ABLIM2
AFAP1	AKR1C1
AFAP1	EVC2
AFAP1	KAT6B
AFAP1	KCNIP4
AFAP1	NTRK2
AFAP1	SLC45A1
AFAP1L2	ABLIM1
AFAP1L2	RET
