AATK	USP32
ABCA5	PPP4R1L
ABL1	ANXA4
AC141586	CCNF
ACACA	DDX52
ACACA	SGTB
ACACA	STAC2
ACAD11	C5ORF44
ACBD6	RRP15
ACCS	EXT2
ACSL3	ETV1
ACSL4	DCAF6
ACTB	C20ORF112
ACTB	GLI1
ACTG1	PPP1R12C
ACTN4	IGF2BP2
ACTR3C	SORCS1
ACVR1C	MGAT5
ADAM23	SGOL2
ADAM9	RNF170
ADAMTS17	RARA
ADAMTS19	SLC27A6
ADAMTS3	SNX30
ADCK4	NUMBL
ADCY9	C16ORF5
ADNP	C20ORF132
ADNP	DLGAP4
AEBP1	THRA
AFF1	DSCAML1
AFF1	ELF2
AFF1	FXYD6
AFF1	PBX1
AFF1	RABGAP1L
AFF3	BCL2
AFF4	LAMC3
AGPAT5	TXNDC16
AGTRAP	BRAF
AHCYL1	RAD51C
AHRR	NCOA2
AKAP10	PSMD11
AKAP9	BRAF
ALCAM	EPHA6
ALDOC	MAN1A2
ALG5	PIGU
ALG6	BMPR1B
ALK	PTPN3
ANGPT1	CXCL12
ANK1	ZMAT4
ANKH	ARHGEF38
ANKHD1	C5ORF32
ANKHD1	PCDH1
ANKH	ODZ2
ANKMY2	ISPD
ANKRD17	HS3ST1
ANKRD26P1	SLC4A10
ANKRD28	NUP98
ANKRD7	DUS4L
ANO2	FBXL14
ANP32E	KAT6B
ANXA2	RORA
ANXA4	TMEM67
APAF1	TLN1
APAF1	UNC13B
APLP2	TNFSF11
APOL1	ACTB
APOL3	ISX
APOOL	DCAF8
ARF3	RUNX1T1
ARFGEF2	SULF2
ARHGAP19	DRG1
ARHGEF16	TCTEX1D4
ARHGEF17	SHANK2
ARHGEF18	CHODL-AS1
ARHGEF28	UTP15
ARHGEF38	ANKH
ARID1A	MAST2
ARID1A	WDTC1
ARSB	DMGDH
ASAP1	MALAT1
ASIC2	PFDN2
ASPSCR1	TFE3
ASTN2	PTPRG
ATG16L2	MLL
ATIC	ALK
ATP11B	POU3F1
ATP11B	SI
ATP11B	TPTEP1
ATP11B	ZNF595
ATP9A	ARFGEF2
ATXN7L3	FAM171A2
AX747630	ETV1
AXL	MBIP
AZGP1	GJC3
BACH2	BCL2L1
BAT2L1	MGMT
BAT2L2	COL3A1
BC017255	TMEM49
BC035340	MCF2L
BCAR3	ABCA4
BCAS3	ARHGAP15
BCAS3	ATXN7
BCAS3	HOXB9
BCAS3	MAP3K3
BCAS3	MED13
BCAS4	BCAS3
BCAS4	ZMYND8
BCL11A	EPHA5
BCL11B	NKX2-5
BCL11B	TLX3
BCL11B	TRD@
BCL2L12	PRMT1
BCL3	HIPK4
BCL3	MYC
BCOR	CCNB3
BCOR	RARA
BCR	ABL1
BCR	FGFR1
BCR	JAK2
BCR	PDGFRA
BCR	RALGPS1	ABL1
BCR	RET
BEND6	TRIM38
BIN2	PDGFRB
BIRC3	MALT1
BIRC6	BHMT2
BMP8B	RLF
BMPR1B	ALG6
BRD3	C15ORF55
BRD4	C15ORF55
BRE	DPYSL5
BRIP1	TMEM49
BRK1	VHL
BRWD1	CCDC46
BSG	NFIX
BTG1	MYC
C11ORF95	MKL2
C12ORF48	MYBPC1
C12ORF4	CD9
C12ORF59	TTLL9
C15ORF21	ETV1
C15ORF21	MYC
C16ORF45	ABCC1
C16ORF62	IQCK
C17ORF69	ALLC
C18ORF45	HM13
C19ORF25	APC2
C19ORF26	SBNO2
C2ORF44	ALK
C2ORF48	RRM2
C2ORF56	SAMD4B
C3ORF27	MECOM
C4ORF22	RERE
C6ORF106	SPDEF
C6ORF204	PDGFRB
C6ORF204	SCML4
C8ORF76	HOXA11-AS
CACNA2D3	FLNB
CACNA2D4	WDR43
CALR	ACACA
CAMK2G	DDX1
CAMKK2	PRKRIP1
CANT1	ETV4
CAP1	BMP8B
CAPN1	ARL2
CAPN1	SPDYC
CAPNS1	WDR62
CAPRIN1	PDGFRB
CARS	ALK
CBFA2T3	GLIS2
CBFB	MYH11
CCDC39	MCF2L2
CCDC43	YBX2
CCDC6	ANK3
CCDC6	CTNNA3
CCDC6	PDGFRB
CCDC6	RET
CCDC6	ROS1
CCDC7	UBE2D1
CCDC85C	SETD3
CCDC88C	PDGFRB
CCDC94	MLL
CCDC9	DHX34
CCND1	TACSTD2
CCP110	GOLPH3L
CCT3	C1ORF61
CD151	DRD4
CD247	GPR161
CD44	SLC1A2
CD68	PSAP
CD6B	NEAT1
CD6B	PSAP
CD74	MBD6
CD74	ROS1
CDC42SE2	KIAA0146
CDC45	RIT2
CDC6	IKZF3
CDC6	RARA
CDH11	USP6
CDH13	MLYCD
CDK1	USP24
CDK4	UBA1
CDK5RAP2	PDGFRA
CDK6	MLL
CDKN1A	CD9
CDKN2A	FOCAD
CENPK	MLL
